id,type,group,name
0,1,activeMarker,btSns
1,1,activeMarker,i2cOk
2,1,motion,motion
3,5,motion,deltaX
4,5,motion,deltaY
5,2,motion,shutter
6,1,motion,maxRaw
7,1,motion,minRaw
8,1,motion,Rawsum
9,1,motion,outlierCount
10,1,motion,squal
11,7,motion,std
12,7,ring,fadeTime
13,1,loco,mode
14,7,loco,spiWr
15,7,loco,spiRe
16,2,ranging,state
17,7,ranging,distance0
18,7,ranging,distance1
19,7,ranging,distance2
20,7,ranging,distance3
21,7,ranging,distance4
22,7,ranging,distance5
23,7,ranging,distance6
24,7,ranging,distance7
25,7,ranging,pressure0
26,7,ranging,pressure1
27,7,ranging,pressure2
28,7,ranging,pressure3
29,7,ranging,pressure4
30,7,ranging,pressure5
31,7,ranging,pressure6
32,7,ranging,pressure7
33,7,tdoa2,d7-0
34,7,tdoa2,d0-1
35,7,tdoa2,d1-2
36,7,tdoa2,d2-3
37,7,tdoa2,d3-4
38,7,tdoa2,d4-5
39,7,tdoa2,d5-6
40,7,tdoa2,d6-7
41,7,tdoa2,cc0
42,7,tdoa2,cc1
43,7,tdoa2,cc2
44,7,tdoa2,cc3
45,7,tdoa2,cc4
46,7,tdoa2,cc5
47,7,tdoa2,cc6
48,7,tdoa2,cc7
49,2,tdoa2,dist7-0
50,2,tdoa2,dist0-1
51,2,tdoa2,dist1-2
52,2,tdoa2,dist2-3
53,2,tdoa2,dist3-4
54,2,tdoa2,dist4-5
55,2,tdoa2,dist5-6
56,2,tdoa2,dist6-7
57,1,twr,rangingSuccessRate0
58,1,twr,rangingPerSec0
59,1,twr,rangingSuccessRate1
60,1,twr,rangingPerSec1
61,1,twr,rangingSuccessRate2
62,1,twr,rangingPerSec2
63,1,twr,rangingSuccessRate3
64,1,twr,rangingPerSec3
65,1,twr,rangingSuccessRate4
66,1,twr,rangingPerSec4
67,1,twr,rangingSuccessRate5
68,1,twr,rangingPerSec5
69,1,twr,rangingSuccessRate6
70,1,twr,rangingPerSec6
71,1,twr,rangingSuccessRate7
72,1,twr,rangingPerSec7
73,2,oa,front
74,2,oa,back
75,2,oa,up
76,2,oa,left
77,2,oa,right
78,7,usd,spiWrBps
79,7,usd,spiReBps
80,7,usd,fatWrBps
81,2,rpm,m1
82,2,rpm,m2
83,2,rpm,m3
84,2,rpm,m4
85,1,colorLedBot,deckTemp
86,1,colorLedBot,throttlePct
87,2,colorLedBot,ledCurR
88,2,colorLedBot,ledCurG
89,2,colorLedBot,ledCurB
90,2,colorLedBot,ledCurW
91,1,colorLedTop,deckTemp
92,1,colorLedTop,throttlePct
93,2,colorLedTop,ledCurR
94,2,colorLedTop,ledCurG
95,2,colorLedTop,ledCurB
96,2,colorLedTop,ledCurW
97,2,motor,m1
98,2,motor,m2
99,2,motor,m3
100,2,motor,m4
101,6,motor,m1req
102,6,motor,m2req
103,6,motor,m3req
104,6,motor,m4req
105,7,pm,vbat
106,2,pm,vbatMV
107,7,pm,extVbat
108,2,pm,extVbatMV
109,7,pm,extCurr
110,7,pm,chargeCurrent
111,4,pm,state
112,1,pm,batteryLevel
113,1,radio,rssi
114,1,radio,isConnected
115,2,radio,numRxBc
116,2,radio,numRxUc
117,7,accRaw,x
118,7,accRaw,y
119,7,accRaw,z
120,5,gyro,xRaw
121,5,gyro,yRaw
122,5,gyro,zRaw
123,7,gyro,xVariance
124,7,gyro,yVariance
125,7,gyro,zVariance
126,7,gyro,x
127,7,gyro,y
128,7,gyro,z
129,3,colAv,latency
130,7,ext_pos,X
131,7,ext_pos,Y
132,7,ext_pos,Z
133,7,locSrv,x
134,7,locSrv,y
135,7,locSrv,z
136,7,locSrv,qx
137,7,locSrv,qy
138,7,locSrv,qz
139,7,locSrv,qw
140,2,locSrvZ,tick
141,2,crtp,rxRate
142,2,crtp,txRate
143,7,extrx,thrust
144,7,extrx,roll
145,7,extrx,pitch
146,7,extrx,rollRate
147,7,extrx,pitchRate
148,7,extrx,yawRate
149,7,extrx,zVel
150,1,extrx,AltHold
151,1,extrx,Arm
152,2,extrx_raw,ch0
153,2,extrx_raw,ch1
154,2,extrx_raw,ch2
155,2,extrx_raw,ch3
156,2,extrx_raw,ch4
157,2,extrx_raw,ch5
158,2,extrx_raw,ch6
159,2,extrx_raw,ch7
160,7,health,motorVarXM1
161,7,health,motorVarYM1
162,7,health,motorVarXM2
163,7,health,motorVarYM2
164,7,health,motorVarXM3
165,7,health,motorVarYM3
166,7,health,motorVarXM4
167,7,health,motorVarYM4
168,1,health,motorPass
169,7,health,batterySag
170,1,health,batteryPass
171,2,health,motorTestCount
172,7,suWrenchObs,tauLWx
173,7,suWrenchObs,tauLWy
174,7,suWrenchObs,tauLWz
175,7,suWrenchObs,tauRawWx
176,7,suWrenchObs,tauRawWy
177,7,suWrenchObs,tauRawWz
178,7,suWrenchObs,fHatNWx
179,7,suWrenchObs,fHatNWy
180,7,suWrenchObs,fHatNWz
181,7,suWrenchObs,fHatRWx
182,7,suWrenchObs,fHatRWy
183,7,suWrenchObs,fHatRWz
184,7,suWrenchObs,fHatWx
185,7,suWrenchObs,fHatWy
186,7,suWrenchObs,fHatWz
187,7,suWrenchObs,fRawWx
188,7,suWrenchObs,fRawWy
189,7,suWrenchObs,fRawWz
190,7,suWrenchObs,epsTx
191,7,suWrenchObs,epsTy
192,7,suWrenchObs,epsTz
193,7,suWrenchObs,f1
194,7,suWrenchObs,f2
195,7,suWrenchObs,f3
196,7,suWrenchObs,f4
